time,gyro_roll,inter_time,inter_gyro_roll
20.43,52.14,3.11,-1.92E+02
20.52,113.91,3.12,-1.82E+02
20.62,72.77,3.13,-1.71E+02
20.72,-90.32,3.14,-1.61E+02
20.74,-90.32,3.15,-1.51E+02
20.82,101.27,3.16,-1.42E+02
20.92,92.97,3.17,-1.35E+02
21.02,-23.24,3.18,-1.30E+02
21.06,-23.24,3.19,-1.29E+02
21.12,-96.6,3.2,-1.29E+02
21.22,-27.09,3.21,-1.29E+02
21.32,25.04,3.22,-1.29E+02
21.38,25.04,3.23,-1.29E+02
21.42,43.72,3.24,-1.29E+02
21.43,43.72,3.25,-1.29E+02
21.43,43.72,3.26,-1.29E+02
21.52,89.49,3.27,-1.29E+02
21.62,137.83,3.28,-1.29E+02
21.7,137.83,3.29,-40.17
21.72,105.48,3.3,-40.17
21.82,69.41,3.31,-38.82226337
21.92,40.42,3.32,-35.21032922
22.02,-65.17,3.33,-29.98111111
22.02,-65.17,3.34,-23.78152263
22.12,18.08,3.35,-17.25847737
22.22,60.81,3.36,-11.05888889
22.32,1.24,3.37,-5.829670782
22.34,1.24,3.38,-2.217736626
22.42,-81.77,3.39,-0.87
22.43,-81.77,3.4,-1.088532091
22.43,-81.77,3.41,-1.720780767
22.52,-102.77,3.42,-2.731724635
22.62,-35.94,3.43,-4.0863423
22.66,-35.94,3.44,-5.74961237
22.72,35.84,3.45,-7.686513451
22.82,27.54,3.46,-9.862024147
22.92,0.87,3.47,-12.24112307
22.98,0.87,3.48,-14.78878882
23.02,17.78,3.49,-17.47
23.12,-11.77,3.5,-21.86537118
23.22,-57.18,3.51,-29.06575693
23.3,-57.18,3.52,-38.30149585
23.32,-63.34,3.53,-48.80292655
23.42,-20.43,3.54,-59.80038763
23.43,-20.43,3.55,-70.5242177
23.43,-20.43,3.56,-80.20475537
23.52,-11.16,3.57,-88.07233923
23.62,-9.51,3.58,-93.35730791
23.62,-9.51,3.59,-95.29
23.72,20.03,3.6,-95.29
23.82,34.62,3.61,-95.29
23.92,18.63,3.62,-95.29
23.94,18.63,3.63,-95.28031127
24.02,22.35,3.64,-95.25185389
24.12,33.64,3.65,-95.20554108
24.22,26.63,3.66,-95.14228606
